vehicle_id,event,event_ts
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-07T15:36:07.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2022-01-06T19:41:29.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-19T17:46:34.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-03T20:42:09.000000+0000
8ce8b281-3c5e-4b17-a863-630b9fc813dc,ignitionOff,2023-01-07T00:50:04.000029+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2022-01-25T19:40:16.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-21T13:29:57.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-09-23T17:14:16.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-12-04T17:39:32.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-10-22T18:37:07.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2022-01-05T15:26:22.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-03T23:38:44.000002+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2022-01-17T12:58:02.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-09-15T12:50:49.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-11-29T02:02:52.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-12-03T04:28:30.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-11-28T21:53:37.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2022-01-21T20:10:38.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-12-17T01:11:23.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-11-23T14:11:46.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2022-01-19T17:32:06.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2023-01-26T15:54:22.000011+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-09-19T20:24:16.000000+0000
